bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
0,0.0,0.10000000149011612,69,0.03645308315753937,0.391304347826087,0.3548512646685476
1,0.10000000149011612,0.20000000298023224,16,0.14322702586650848,0.5,0.3567729741334915
2,0.20000000298023224,0.30000001192092896,2,0.2428511381149292,0.5,0.2571488618850708
3,0.30000001192092896,0.4000000059604645,4,0.35507360100746155,0.25,0.10507360100746155
4,0.4000000059604645,0.5,6,0.44597887992858887,0.5,0.05402112007141113
5,0.5,0.6000000238418579,12,0.5568472146987915,0.8333333333333334,0.27648611863454187
6,0.6000000238418579,0.699999988079071,8,0.6547914147377014,0.5,0.15479141473770142
7,0.699999988079071,0.800000011920929,12,0.7463064789772034,0.8333333333333334,0.08702685435613
8,0.800000011920929,0.8999999761581421,38,0.8692706227302551,0.7368421052631579,0.13242851746709727
9,0.8999999761581421,1.0,175,0.9143124222755432,0.7771428571428571,0.13716956513268608
