bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
0,0.0,0.10000000149011612,27,0.036910753697156906,0.2962962962962963,0.2593855425991394
1,0.10000000149011612,0.20000000298023224,18,0.1523074358701706,0.3888888888888889,0.2365814530187183
2,0.20000000298023224,0.30000001192092896,19,0.2575366795063019,0.631578947368421,0.37404226786211914
3,0.30000001192092896,0.4000000059604645,21,0.3445598781108856,0.42857142857142855,0.08401155046054293
4,0.4000000059604645,0.5,19,0.44767990708351135,0.5789473684210527,0.1312674613375413
5,0.5,0.6000000238418579,34,0.5566263198852539,0.6470588235294118,0.09043250364415789
6,0.6000000238418579,0.699999988079071,49,0.6516044735908508,0.8163265306122449,0.16472205702139409
7,0.699999988079071,0.800000011920929,130,0.7600568532943726,0.7923076923076923,0.03225083901331971
8,0.800000011920929,0.8999999761581421,202,0.8376094698905945,0.8811881188118812,0.04357864892128671
9,0.8999999761581421,1.0,4,0.9036192297935486,1.0,0.09638077020645142
