bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
0,0.0,0.10000000149011612,82,0.05066893249750137,0.5121951219512195,0.46152618945371815
1,0.10000000149011612,0.20000000298023224,15,0.14626996219158173,0.8,0.6537300378084183
2,0.20000000298023224,0.30000001192092896,8,0.2524922490119934,0.75,0.4975077509880066
3,0.30000001192092896,0.4000000059604645,9,0.3684547245502472,0.3333333333333333,0.03512139121691388
4,0.4000000059604645,0.5,5,0.45086851716041565,0.8,0.3491314828395844
5,0.5,0.6000000238418579,7,0.5685333609580994,0.8571428571428571,0.28860949618475773
6,0.6000000238418579,0.699999988079071,9,0.6302651762962341,0.5555555555555556,0.07470962074067855
7,0.699999988079071,0.800000011920929,6,0.7608280777931213,0.8333333333333334,0.07250525554021203
8,0.800000011920929,0.8999999761581421,24,0.8602304458618164,0.7083333333333334,0.15189711252848304
9,0.8999999761581421,1.0,358,0.94024658203125,0.8212290502793296,0.11901753175192042
