feature,n_benign,n_no_tumor,mean_benign,mean_no_tumor,median_benign,median_no_tumor,mw_u,p_value,cliff_delta,q_value
poly_area_ratio_gb,478,1639,0.028467988357814465,0.018670076559362557,0.02208706004811169,0.014904386951629787,503534.0,1.9332701418938375e-21,0.2854404027356205,2.899905212840756e-20
mbr_area_ratio_gb,478,1639,0.036724468078040376,0.02415826718851078,0.027993565371130038,0.01929825427015702,502106.0,6.166393791081738e-21,0.28179495099828705,4.6247953433113036e-20
poly_area,478,1639,2141.2145528699716,1425.1783880590729,1563.7093243520649,1117.3579796817212,495353.5,1.2196571229470753e-18,0.26455691678516086,4.573714211051532e-18
poly_area_ratio_img,478,1639,0.020910298367870814,0.013917757695889384,0.015270598870625634,0.010911699020329308,495353.5,1.2196571229470753e-18,0.26455691678516086,4.573714211051532e-18
mbr_area,478,1639,2763.45080385019,1846.295302748743,2004.0361014901282,1434.0406892776373,494062.0,3.230657323903934e-18,0.261259927346249,8.076643309759836e-18
mbr_area_ratio_img,478,1639,0.026986824256349514,0.018030227565905697,0.019570665053614534,0.014004303606226927,494062.0,3.230657323903934e-18,0.261259927346249,8.076643309759836e-18
poly_perimeter,478,1639,165.6712445974909,137.153714821967,154.72945256753877,127.85068080413329,492330.0,1.170886801556598e-17,0.2568384130541891,2.5090431461927098e-17
mbr_h,478,1639,52.646476246821834,43.49508727389621,47.463815689086914,39.62179946899414,483729.0,5.103462501200445e-15,0.23488145899760288,9.568992189750834e-15
mbr_w,478,1639,46.981634598895596,38.6938051901044,43.02104568481445,35.61846923828125,483526.0,5.8531757045918735e-15,0.2343632330153349,9.755292840986456e-15
n_points,478,1639,23.44142259414226,21.317876754118366,20.0,18.0,434190.0,0.00030086630506982064,0.10841644946275537,0.00045129945760473097
mbr_aspect,478,1639,1.4597861467000777,1.424901493741174,1.4016921676750018,1.3571430400926165,418950.0,0.020584656854625787,0.06951120823238989,0.028069986619944254
poly_compactness,478,1639,0.8544562444527568,0.8516934247099748,0.869916019517121,0.8654107484090833,397084.0,0.6483698314109583,0.013690866713809063,0.8104622892636978
mbr_fill_ratio,478,1639,0.7798653141272246,0.7790450253700096,0.7835439342554984,0.782604015836717,395300.0,0.7608869138699939,0.009136604879493313,0.8779464390807621
mbr_center_x_norm,478,1639,0.4576235752474813,0.45958561984193697,0.44832806587219237,0.4464221477508545,390557.0,0.921182525757126,-0.0029715026766499626,0.9721523056781881
mbr_center_y_norm,478,1639,0.5393598308124303,0.5394717522624646,0.5425458908081054,0.5444806098937989,391310.0,0.9721523056781881,-0.0010492161512913529,0.9721523056781881
