feature,kruskal_h,p_kruskal,p_malignant_vs_benign,delta_malignant_vs_benign,mean_malignant,mean_benign,p_malignant_vs_no_tumor,delta_malignant_vs_no_tumor,mean_no_tumor,p_benign_vs_no_tumor,delta_benign_vs_no_tumor,q_kruskal,q_malignant_vs_benign,q_malignant_vs_no_tumor,q_benign_vs_no_tumor
gb_lbp_entropy,438.8196595560821,5.146614651930908e-96,1.6304439870351005e-54,0.6270849598977926,3.1223694115351974,2.9019367141699233,5.6188943887369135e-96,0.6901554404145078,2.8819396861356394,0.1073253356119833,0.050916503587736466,2.3159765933689085e-94,7.336997941657952e-53,2.528502474931611e-94,0.19318560410156993
gb_lbp_nonuniform_ratio,401.75579347655986,5.752252085643009e-88,3.807236735242624e-52,0.6128362552345802,0.08840420579663212,0.06213810890232591,3.4023852807952437e-87,0.6571465581051074,0.060250592912946425,0.17943814376312317,0.04244781474233529,8.6283781284724e-87,5.710855102863936e-51,5.103577921192866e-86,0.2883827310478765
gb_lbp_uniform_ratio,401.75579347655804,5.752252085648266e-88,3.807236735242624e-52,-0.6128362552345802,0.9115957942033679,0.937861891097674,3.4023852807952437e-87,-0.6571465581051074,0.9397494070870536,0.17943814376312317,-0.04244781474233529,8.6283781284724e-87,5.710855102863936e-51,5.103577921192866e-86,0.2883827310478765
img_lbp_entropy,393.5463712488254,3.4873159552794866e-86,3.868543805275903e-48,0.5879527763976625,3.1665342639316987,2.9820258304925793,1.7091895223074565e-86,0.654441154700222,2.960845151342523,0.07122172612108141,0.05704174820613177,3.9232304496894225e-85,4.352111780935391e-47,1.9228382125958884e-85,0.1456808034294847
img_lbp_uniform_ratio,356.0584294909923,4.818306453079302e-78,1.1474134805133928e-44,-0.565512101639577,0.9010275410864638,0.9270366511932792,6.4767135101468975e-78,-0.6203737971872687,0.9296771240234375,0.06893187396575907,-0.057509784735812135,3.613729839809476e-77,8.605601103850446e-44,4.857535132610173e-77,0.1456808034294847
img_lbp_nonuniform_ratio,356.0584294909923,4.818306453079302e-78,1.1474134805133928e-44,0.565512101639577,0.09897245891353627,0.0729633488067209,6.4767135101468975e-78,0.6203737971872687,0.0703228759765625,0.06893187396575907,0.057509784735812135,3.613729839809476e-77,8.605601103850446e-44,4.857535132610173e-77,0.1456808034294847
img_hf_ratio,289.98358385138727,1.073655233519945e-63,1.7820914884338703e-29,0.45465729765538127,0.009070490488504305,0.005067947920967072,8.953178791601287e-65,0.5642413027387121,0.004020094544216296,0.0002830343363073338,0.11478473581213307,6.902069358342503e-63,8.019411697952416e-29,5.7556149374579695e-64,0.003942696668524007
img_edge_density,262.9263717623347,8.058677913551282e-58,1.562068522711678e-33,0.48670948967279437,0.09217849336139897,0.048199490760559356,9.817962343804323e-58,0.5317524056254627,0.04052142159598215,0.05980803015659315,0.059512393998695366,4.5330063263725965e-57,1.0041869074575073e-32,5.522603818389932e-57,0.1456808034294847
gb_edge_density,257.85964312268527,1.015055860874736e-56,8.544470803715885e-32,0.47324153595003193,0.09315518625675417,0.049695865911304225,7.155578724608401e-57,0.5276350851221318,0.04123245161995862,0.02802481371551989,0.06946347031963471,5.07527930437368e-56,4.806264827090185e-31,3.5777893623042004e-56,0.074183330423435
img_lap_var,253.4644492768948,9.138904945107218e-56,3.9485856836566595e-31,0.46798921144155015,1702.8388226071966,837.8778392097646,3.0915159518792187e-55,0.519740932642487,670.2403780836484,0.003755014288465383,0.09163078930202218,4.1125072252982486e-55,1.97429284182833e-30,1.3911821783456485e-54,0.014081303581745188
gb_lap_var,235.18803548839514,8.502898382012281e-52,5.245129340354744e-27,0.43401471597227154,1755.695528252697,914.1770913861847,1.2543319035092299e-51,0.5018874907475944,729.1519707720158,0.0010345447871998779,0.10373776908023484,3.478458429005024e-51,2.1457347301451225e-26,4.703744638159612e-51,0.006650645060570643
gb_hf_ratio,234.6514124424848,1.111970338491199e-51,3.9187821929300633e-20,0.3706555941987839,0.012426487702578622,0.008151958314944011,2.978019997847195e-52,0.5050222057735011,0.0061652098078225125,4.153780190474291e-06,0.14555446836268754,4.169888769341996e-51,1.0373246981285462e-19,1.218280908210216e-51,0.0001869201085713431
img_grad_mean,184.9045452503933,7.054856095372782e-41,2.0198636643413198e-26,0.4289753235384579,46.362234048072935,34.96738278839958,2.473912491447905e-40,0.44140266469282013,33.970194409848595,0.25469983096859117,0.036014350945857795,2.442065571475194e-40,7.574488741279949e-26,8.563543239627363e-40,0.3952238756409173
gb_grad_mean,181.3591087747409,4.15307628193625e-40,3.3340291013696765e-24,0.40933825443017013,46.84683501387149,36.213881950730034,4.380562908102449e-40,0.43998149518874907,34.785199920980624,0.10489408060832422,0.0512720156555773,1.3349173763366518e-39,1.154086996627965e-23,1.4080380776043587e-39,0.19318560410156993
img_grad_std,171.2295375432559,6.576250579255195e-38,4.5826032439901225e-24,0.4080843211015686,46.65852417844391,36.80620971224757,2.888685855165526e-37,0.42350481125092526,35.44248714216714,0.06322589545146803,0.05873450750163079,1.9728751737765586e-37,1.4729796141396822e-23,8.666057565496578e-37,0.1456808034294847
gb_glcm_correlation,150.79008965739285,1.8044633600109928e-33,2.5049045983892177e-16,-0.3305178981238318,0.9266260662164062,0.9453805799342477,2.2486889418178508e-34,-0.4059215396002961,0.9497676608423837,0.007855901436324015,-0.08404761904761905,5.075053200030917e-33,4.900900301196295e-16,6.324437648862705e-34,0.025251111759612904
gb_glcm_dissimilarity,148.48049807329153,5.726239497717457e-33,1.4875144198669304e-21,0.384590815529846,1.185689196971193,0.9608540478387498,9.335556099156878e-33,0.3957438934122872,0.9411773211899439,0.3587569845768199,0.029018264840182648,1.5157692788075622e-32,4.462543259600791e-21,2.471176614482703e-32,0.504502009561153
gb_glcm_homogeneity,145.78009031865076,2.2093046245319958e-32,2.0462831900257844e-21,-0.38325407528331795,0.5946960674681153,0.6512329626901423,3.300542109154257e-32,-0.3922353811991118,0.6561954865956972,0.6185635217518921,-0.015743639921722112,5.523261561329989e-32,5.755171471947518e-21,8.251355272885642e-32,0.7137271404829524
gb_grad_std,138.83562796997012,7.115844360740558e-31,1.3883315675839233e-16,0.3333688220124447,46.787873131065226,39.05710656711505,6.406668789015397e-31,0.38387120651369355,37.0433169831656,0.005653346857084987,0.08749510763209394,1.6853315591227637e-30,2.8397691155125705e-16,1.517368923714173e-30,0.019569277582217263
gb_glcm_contrast,138.23296163945997,9.618199289236452e-31,6.941296691270171e-19,0.35797430619632337,3.9024996595507093,2.8535263483921636,1.042968859706665e-30,0.38247964470762397,2.759947731063357,0.07786491790348651,0.0557501630789302,2.164094840078202e-30,1.7353241728175425e-18,2.3466799343399962e-30,0.15234440459377796
img_glcm_dissimilarity,118.16999309489347,2.1863114848777787e-26,4.1068537485593805e-18,0.3499065464783401,1.2616329649093154,1.0377141897241327,3.833462320852522e-26,0.3511435973353072,1.0240879335743773,0.4382982461359397,0.024507501630789304,4.684953181880954e-26,9.726758878166955e-18,8.214562116112548e-26,0.593826075372588
img_glcm_contrast,116.800390628272,4.336281153498363e-26,4.671292624177707e-18,0.3493150684931507,4.419368990860832,3.255544463328324,1.0981687901842428e-25,0.34785344189489265,3.2272829483735883,0.26912955497762425,0.0349412915851272,8.869665995792106e-26,1.0510408404399841e-17,2.2462543435586783e-25,0.4036943324664364
img_glcm_homogeneity,110.77322523971907,8.82876115293087e-25,1.0278573138361775e-16,-0.3348120282963068,0.5815620377169856,0.6331328859022922,8.513049069202674e-25,-0.3413619541080681,0.6378888056540286,0.5207408163400861,-0.020306588388780168,1.727366312529953e-24,2.202551386791809e-16,1.5961967004755016e-24,0.633333425278483
