class_name,class_id,image_path,image_h,image_w,img_mean,img_std,img_min,img_max,img_p10,img_p50,img_p90,img_entropy,img_skew,img_kurtosis,img_grad_mean,gb_rect_w,gb_rect_h,gb_rect_area,gb_rect_aspect,gb_rect_area_ratio_img,gb_mean,gb_std,gb_min,gb_max,gb_p10,gb_p50,gb_p90,gb_entropy,gb_skew,gb_kurtosis,gb_grad_mean,poly_count,poly_area_total,poly_area_mean,poly_area_max,poly_area_total_ratio_gb,poly_mbr_area_mean,poly_mbr_aspect_mean,poly_mbr_fill_mean
malignant,0,malignant/00139142_US_Image2_R_1.png,320,320,32.14169921875,24.375673457109972,0.0,253.0,4.0,29.0,61.0,6.26592523989966,2.064596784237789,9.792276972843158,2.5578570103223663,211.16751269035535,317.91153009427126,67132.5870655923,0.6642335766423357,0.6555916705624248,32.85772165375288,25.812603815374132,0.0,253.0,2.0,30.0,60.0,6.2299128206118395,2.285377647439994,11.03545581060805,3.056515888624366,0,0.0,,,0.0,,,
malignant,0,malignant/00166451_US_Image13_1.png,320,320,75.010419921875,30.960934918613216,6.0,217.0,43.0,68.0,120.0,6.798848743889861,1.1225481687626067,1.1980602560357951,2.1931464174454827,318.9485213581598,306.09711573566995,97629.22245588944,1.0419847328244272,0.9534103755457953,73.89993892508143,30.34060253271822,6.0,217.0,43.0,67.0,116.0,6.768776412051265,1.1736012528912292,1.478607775858774,2.2106190006005764,0,0.0,,,0.0,,,
malignant,0,malignant/00186932_US_Image12_1.png,320,320,71.039287109375,33.14455539340002,0.0,249.0,35.0,66.0,115.0,6.951967692771782,0.9574664692035427,2.0782703035689325,3.5636969111026473,269.51983719196437,318.5234439541397,85848.38675634352,0.8461538461538463,0.8383631519174172,71.95444444444445,30.409121722776167,0.0,249.0,39.0,67.0,111.0,6.813326061742957,1.2829409676576098,3.148300312287417,3.686049607055637,0,0.0,,,0.0,,,
malignant,0,malignant/00186932_US_Image8_1.png,320,320,71.4481640625,29.941057469811973,0.0,251.0,40.0,66.0,110.0,6.7773173654455245,1.2527440482252,3.137918577394874,3.274885496928681,280.690638365278,318.07381593537144,89280.34244217935,0.8824701195219125,0.8718783441619077,73.48076880321928,28.640303661443028,5.0,251.0,45.0,67.0,111.0,6.678819241796535,1.470401543969303,3.6836993044649766,3.39644496815145,0,0.0,,,0.0,,,
malignant,0,malignant/00193839_US_Image10_1.png,320,320,109.2963671875,58.95348270900901,0.0,254.0,21.0,112.0,182.0,7.5060156062012355,-0.018590055370760188,-0.2747505971693083,3.874403070342484,319.6564635647141,183.49873006729337,58656.55512192707,1.7420091324200906,0.572817921112569,115.77525475543479,47.318418112824155,0.0,253.0,55.0,114.0,177.0,7.522763478627198,0.3747389313643943,0.22333126077399656,4.014232578678306,0,0.0,,,0.0,,,
malignant,0,malignant/00193839_US_Image13_1.png,320,320,88.617197265625,58.4884121064885,0.0,255.0,1.0,85.0,169.0,7.318862151914358,0.383358297740353,-0.2489506980962588,3.452514184708835,319.6368848542761,159.10176779741994,50854.79343357569,2.009009009009009,0.49662884212476255,92.5651203416149,50.42946644004936,0.0,254.0,32.0,85.0,162.0,7.42553745304118,0.6499444282021637,0.4973155182536164,3.824472524699625,0,0.0,,,0.0,,,
malignant,0,malignant/00193839_US_Image16_L_1.png,320,320,59.210302734375,35.977677015936415,2.0,219.0,14.0,54.0,109.0,7.024296676981178,0.8166636954389732,0.6508680335598318,3.3701989277239037,319.559973850905,281.3281936836411,89901.23021706668,1.1358974358974354,0.8779417013385418,54.83952075971732,33.51908848390019,2.0,219.0,12.0,51.0,100.0,6.910163154487369,0.8509759527341596,0.8713418761778673,3.2759306087743902,0,0.0,,,0.0,,,
malignant,0,malignant/00193839_US_Image17_L_1.png,320,320,55.4135546875,35.5573660049215,2.0,226.0,12.0,49.0,104.0,6.953368615860434,1.0089900503417526,1.1500157014754508,2.5889901268567077,317.4653298597405,301.46575090129204,95704.92405129304,1.053072625698324,0.9346183989384086,54.496136865342166,35.69531189693746,2.0,226.0,11.0,48.0,103.0,6.940022981734465,1.0545260951277666,1.276530878886919,2.5505805175196543,0,0.0,,,0.0,,,
malignant,0,malignant/00193839_US_Image18_L_1.png,320,320,61.358505859375,37.1138335336626,2.0,239.0,16.0,56.0,110.0,7.062638801612051,1.0138846155734198,1.3931483385514598,3.8177911893670835,318.46355303360986,272.3701440419031,86739.96381186055,1.1692307692307695,0.8470699591002007,56.14831730769231,33.51692912765727,2.0,239.0,14.0,52.0,101.0,6.931363538899408,0.8820132872492671,1.029678728322561,3.7190672970157626,0,0.0,,,0.0,,,
malignant,0,malignant/00193839_US_Image19_L_1.png,320,320,59.834462890625,37.583290183019436,2.0,218.0,15.0,53.0,112.0,7.0406914253561075,1.0725851421565131,1.2849765640194857,3.1887225461186146,319.03098066620083,269.08921500116475,85847.79614851974,1.1855955678670358,0.8383573842628881,54.994560185185186,33.80863107585443,2.0,208.0,13.0,50.0,102.0,6.9107378141839,0.9490563673924116,1.0932953702586818,3.1058924293105243,0,0.0,,,0.0,,,
