bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
0,0.0,0.10000000149011612,7,0.09629802405834198,0.2857142857142857,0.18941626165594372
1,0.10000000149011612,0.20000000298023224,29,0.13288670778274536,0.3448275862068966,0.2119408784241512
2,0.20000000298023224,0.30000001192092896,11,0.23504918813705444,0.5454545454545454,0.31040535731749097
3,0.30000001192092896,0.4000000059604645,11,0.34241020679473877,0.6363636363636364,0.2939534295688976
4,0.4000000059604645,0.5,11,0.45296820998191833,0.8181818181818182,0.3652136081998999
5,0.5,0.6000000238418579,10,0.559360146522522,0.8,0.24063985347747807
6,0.6000000238418579,0.699999988079071,17,0.6510443687438965,0.7058823529411765,0.05483798419728003
7,0.699999988079071,0.800000011920929,32,0.76123046875,0.75,0.01123046875
8,0.800000011920929,0.8999999761581421,335,0.8750240206718445,0.8238805970149253,0.05114342365691915
9,0.8999999761581421,1.0,60,0.9182006120681763,0.6666666666666666,0.25153394540150964
