bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
0,0.0,0.10000000149011612,38,0.0619371123611927,0.39473684210526316,0.33279972974407046
1,0.10000000149011612,0.20000000298023224,15,0.1389908492565155,0.8,0.6610091507434845
2,0.20000000298023224,0.30000001192092896,4,0.25026649236679077,1.0,0.7497335076332092
3,0.30000001192092896,0.4000000059604645,2,0.3806939125061035,0.5,0.11930608749389648
4,0.4000000059604645,0.5,4,0.41861802339553833,1.0,0.5813819766044617
5,0.5,0.6000000238418579,7,0.5759953856468201,0.8571428571428571,0.281147471496037
6,0.6000000238418579,0.699999988079071,12,0.6336234211921692,0.5833333333333334,0.05029008785883582
7,0.699999988079071,0.800000011920929,8,0.7676931619644165,0.625,0.1426931619644165
8,0.800000011920929,0.8999999761581421,23,0.8604795932769775,0.6086956521739131,0.25178394110306446
9,0.8999999761581421,1.0,410,0.9459841251373291,0.7951219512195122,0.15086217391781687
