bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
0,0.0,0.10000000149011612,40,0.06383725255727768,0.4,0.33616274744272234
1,0.10000000149011612,0.20000000298023224,14,0.14204753935337067,0.8571428571428571,0.7150953177894864
2,0.20000000298023224,0.30000001192092896,5,0.2699636220932007,1.0,0.7300363779067993
3,0.30000001192092896,0.4000000059604645,3,0.3521302044391632,0.6666666666666666,0.3145364622275034
4,0.4000000059604645,0.5,3,0.45262596011161804,1.0,0.547374039888382
5,0.5,0.6000000238418579,11,0.5625365972518921,0.45454545454545453,0.10799114270643756
6,0.6000000238418579,0.699999988079071,7,0.6375380754470825,1.0,0.3624619245529175
7,0.699999988079071,0.800000011920929,9,0.7458319664001465,0.5555555555555556,0.1902764108445909
8,0.800000011920929,0.8999999761581421,23,0.8523864150047302,0.6086956521739131,0.24369076283081714
9,0.8999999761581421,1.0,408,0.9460306167602539,0.7965686274509803,0.14946198930927357
