bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
0,0.0,0.10000000149011612,38,0.0629495158791542,0.2894736842105263,0.22652416833137212
1,0.10000000149011612,0.20000000298023224,49,0.14533323049545288,0.5714285714285714,0.4260953409331185
2,0.20000000298023224,0.30000001192092896,60,0.2512771189212799,0.6666666666666666,0.4153895477453867
3,0.30000001192092896,0.4000000059604645,58,0.3422292470932007,0.7758620689655172,0.43363282187231655
4,0.4000000059604645,0.5,50,0.45491698384284973,0.78,0.3250830161571503
5,0.5,0.6000000238418579,49,0.551554799079895,0.7959183673469388,0.24436356826704375
6,0.6000000238418579,0.699999988079071,59,0.6461998820304871,0.7796610169491526,0.1334611349186655
7,0.699999988079071,0.800000011920929,82,0.7480453252792358,0.9024390243902439,0.1543936991110081
8,0.800000011920929,0.8999999761581421,60,0.8497658371925354,0.9333333333333333,0.08356749614079795
9,0.8999999761581421,1.0,18,0.9353981018066406,0.8888888888888888,0.046509212917751785
