bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
0,0.0,0.10000000149011612,30,0.05021518096327782,0.23333333333333334,0.18311815237005552
1,0.10000000149011612,0.20000000298023224,35,0.15157939493656158,0.5142857142857142,0.36270631934915265
2,0.20000000298023224,0.30000001192092896,26,0.25840023159980774,0.7692307692307693,0.5108305376309615
3,0.30000001192092896,0.4000000059604645,25,0.3445207476615906,0.56,0.21547925233840948
4,0.4000000059604645,0.5,44,0.45307111740112305,0.7272727272727273,0.27420160987160425
5,0.5,0.6000000238418579,60,0.5620176792144775,0.7,0.13798232078552242
6,0.6000000238418579,0.699999988079071,69,0.6477927565574646,0.8405797101449275,0.1927869535874629
7,0.699999988079071,0.800000011920929,58,0.7531062960624695,0.7758620689655172,0.022755772903047755
8,0.800000011920929,0.8999999761581421,103,0.8587446212768555,0.8640776699029126,0.005333048626057102
9,0.8999999761581421,1.0,73,0.9158110022544861,0.9452054794520548,0.029394477197568714
